season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4
2010,GSW,UTA,33,Anthony Tolliver,C.J. Watson,Chris Hunter,Devean George,?,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Wesley Matthews
2010,BOS,CHA,20,Kendrick Perkins,?,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,D.J. Augustin,Stephen Graham,Stephen Jackson,Theo Ratliff
2010,LAL,MEM,46,Didier Ilunga-Mbenga,Jordan Farmar,Kobe Bryant,Lamar Odom,?,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph
2010,MEM,DEN,35,Jamaal Tinsley,Marc Gasol,O.J. Mayo,Rudy Gay,?,Anthony Carter,Carmelo Anthony,Chris Andersen,J.R. Smith,Kenyon Martin
2010,MIA,PHI,41,Dorell Wright,Dwyane Wade,Jermaine O'Neal,?,Udonis Haslem,Elton Brand,Jason Kapono,Jason Smith,Jodie Meeks,Lou Williams
2010,PHO,MEM,21,Amar'e Stoudemire,Channing Frye,Grant Hill,Jason Richardson,?,Marc Gasol,Mike Conley,Rudy Gay,Sam Young,Zach Randolph
2010,HOU,MIA,45,Aaron Brooks,?,Luis Scola,Shane Battier,Trevor Ariza,Dwyane Wade,Jermaine O'Neal,Quentin Richardson,Rafer Alston,Udonis Haslem
2010,MIL,DEN,9,Andrew Bogut,?,Hakim Warrick,Jodie Meeks,Luc Mbah a Moute,Carmelo Anthony,Chauncey Billups,Chris Andersen,J.R. Smith,Kenyon Martin
2010,IND,BOS,43,Brandon Rush,Dahntay Jones,Danny Granger,?,Roy Hibbert,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen
2010,UTA,MIL,20,Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,?,Brandon Jennings,Carlos Delfino,Charlie Bell,Dan Gadzuric,Ersan Ilyasova
2010,PHO,LAL,31,Amar'e Stoudemire,Grant Hill,Jared Dudley,?,Steve Nash,Andrew Bynum,Derek Fisher,Kobe Bryant,Metta World Peace,Pau Gasol
2010,OKC,HOU,42,?,Kevin Durant,Russell Westbrook,Serge Ibaka,Thabo Sefolosha,Carl Landry,Chase Budinger,David Andersen,Kyle Lowry,Shane Battier
2010,DAL,GSW,0,Dirk Nowitzki,Eduardo Najera,Jason Kidd,?,Shawn Marion,Andris Biedrins,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry
2010,IND,MIN,28,Earl Watson,Josh McRoberts,Luther Head,?,Roy Hibbert,Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love
2010,ATL,LAL,47,?,Jeff Teague,Mario West,Maurice Evans,Zaza Pachulia,Adam Morrison,Didier Ilunga-Mbenga,Jordan Farmar,Josh Powell,Shannon Brown
2010,LAC,MIN,13,Al Thornton,Craig Smith,DeAndre Jordan,?,Sebastian Telfair,Brian Cardinal,Nathan Jawai,Ramon Sessions,Sasha Pavlovic,Wayne Ellington
