season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4
2013,GSW,LAL,31,Andrew Bogut,David Lee,Jarrett Jack,?,Stephen Curry,Antawn Jamison,Dwight Howard,Jodie Meeks,Kobe Bryant,Steve Nash
2013,DEN,LAL,40,Andre Miller,?,Kenneth Faried,Ty Lawson,Wilson Chandler,Antawn Jamison,Dwight Howard,Jodie Meeks,Kobe Bryant,Steve Blake
2013,HOU,GSW,42,Chandler Parsons,James Harden,Jeremy Lin,Marcus Morris,?,Andrew Bogut,Carl Landry,Jarrett Jack,Kent Bazemore,Richard Jefferson
2013,DAL,OKC,45,Brandan Wright,Dirk Nowitzki,Mike James,?,Vince Carter,Kendrick Perkins,Kevin Durant,Kevin Martin,Russell Westbrook,Serge Ibaka
2013,LAC,CLE,34,Blake Griffin,?,Jamal Crawford,Matt Barnes,Ryan Hollins,Alonzo Gee,Anderson Varejao,Daniel Gibson,Kyrie Irving,Tyler Zeller
2013,NYK,GSW,47,Carmelo Anthony,Iman Shumpert,J.R. Smith,Raymond Felton,?,Draymond Green,Festus Ezeli,Jarrett Jack,Klay Thompson,Stephen Curry
2013,MIA,POR,20,Chris Bosh,Dwyane Wade,Joel Anthony,?,Mario Chalmers,Damian Lillard,LaMarcus Aldridge,Luke Babbitt,Nicolas Batum,Wesley Matthews
2013,OKC,TOR,43,Eric Maynor,?,Jeremy Lamb,Perry Jones,Reggie Jackson,Aaron Gray,DeMar DeRozan,Dominic McGuire,Ed Davis,Terrence Ross
2013,HOU,MEM,24,Francisco Garcia,Greg Smith,James Harden,Jeremy Lin,?,Marc Gasol,Mike Conley,Tayshaun Prince,Tony Allen,Zach Randolph
2013,WAS,TOR,33,Bradley Beal,Emeka Okafor,Jan Vesely,John Wall,?,Amir Johnson,DeMar DeRozan,Jonas Valanciunas,Kyle Lowry,Landry Fields
2013,MEM,DEN,20,Marc Gasol,Mike Conley,Rudy Gay,Tony Allen,?,Andre Iguodala,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Ty Lawson
2013,SAS,LAC,33,Boris Diaw,Gary Neal,Manu Ginobili,Tim Duncan,?,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Matt Barnes
2013,UTA,POR,9,Al Jefferson,Derrick Favors,Earl Watson,?,Randy Foye,Damian Lillard,Jared Jeffries,Meyers Leonard,Nicolas Batum,Wesley Matthews
2013,GSW,SAS,25,David Lee,Festus Ezeli,Harrison Barnes,Klay Thompson,?,Cory Joseph,Danny Green,DeJuan Blair,Matt Bonner,Tiago Splitter
2013,UTA,OKC,20,Al Jefferson,DeMarre Carroll,?,Paul Millsap,Randy Foye,Kendrick Perkins,Kevin Durant,Kevin Martin,Russell Westbrook,Serge Ibaka
2013,SAC,LAL,19,DeMarcus Cousins,John Salmons,Marcus Thornton,?,Tyreke Evans,Darius Morris,Dwight Howard,Kobe Bryant,Metta World Peace,Pau Gasol
2013,PHI,LAL,7,Dorell Wright,Evan Turner,Jason Richardson,?,Thaddeus Young,Chris Duhon,Dwight Howard,Jodie Meeks,Kobe Bryant,Metta World Peace
2013,BRK,ORL,37,Andray Blatche,?,Jerry Stackhouse,Joe Johnson,Reggie Evans,Arron Afflalo,E'Twaun Moore,Glen Davis,Gustavo Ayon,Josh McRoberts
2013,SAS,DEN,26,Danny Green,DeJuan Blair,?,Tim Duncan,Tony Parker,Andre Iguodala,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Ty Lawson
2013,MEM,PHO,34,Darrell Arthur,Marc Gasol,Mike Conley,?,Wayne Ellington,Goran Dragic,Jared Dudley,Luis Scola,Marcin Gortat,Michael Beasley
2013,LAL,CHA,37,Darius Morris,Jodie Meeks,Kobe Bryant,?,Pau Gasol,Ben Gordon,Byron Mullens,Gerald Henderson,Kemba Walker,Michael Kidd-Gilchrist
2013,ORL,CHA,32,?,E'Twaun Moore,J.J. Redick,Jameer Nelson,Nikola Vucevic,Brendan Haywood,Hakim Warrick,Kemba Walker,Michael Kidd-Gilchrist,Ramon Sessions
2013,DEN,SAS,11,Andre Iguodala,Anthony Randolph,Corey Brewer,?,JaVale McGee,Cory Joseph,DeJuan Blair,Gary Neal,Matt Bonner,Patty Mills
2013,ATL,BRK,17,Al Horford,Jeff Teague,Kyle Korver,Lou Williams,?,Andray Blatche,C.J. Watson,Jerry Stackhouse,Joe Johnson,Mirza Teletovic
2013,OKC,DET,14,Eric Maynor,?,Nick Collison,Perry Jones,Reggie Jackson,Andre Drummond,Jonas Jerebko,Kyle Singler,Rodney Stuckey,Will Bynum
2013,PHO,SAC,47,?,Jared Dudley,Luis Scola,Marcin Gortat,Shannon Brown,Aaron Brooks,DeMarcus Cousins,James Johnson,Jason Thompson,Jimmer Fredette
2013,OKC,MEM,47,DeAndre Liggins,?,Hasheem Thabeet,Kevin Martin,Perry Jones,Chris Johnson,Darrell Arthur,Jerryd Bayless,Jon Leuer,Tony Wroten
2013,PHO,MEM,44,?,Luis Scola,Marcin Gortat,P.J. Tucker,Shannon Brown,Jerryd Bayless,Marc Gasol,Mike Conley,Rudy Gay,Zach Randolph
2013,DAL,NOH,10,Dahntay Jones,?,Elton Brand,Rodrigue Beaubois,Vince Carter,Austin Rivers,Brian Roberts,Jason Smith,Lance Thomas,Ryan Anderson
2013,CLE,WAS,27,Alonzo Gee,Anderson Varejao,Dion Waiters,?,Tristan Thompson,A.J. Price,Bradley Beal,Emeka Okafor,Jan Vesely,Trevor Ariza
2013,MIL,GSW,25,?,Ersan Ilyasova,Larry Sanders,Luc Mbah a Moute,Monta Ellis,David Lee,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry
2013,BOS,ORL,11,Courtney Lee,Jason Collins,Jason Terry,?,Leandro Barbosa,Andrew Nicholson,DeQuan Jones,E'Twaun Moore,Ish Smith,Josh McRoberts
2013,BOS,HOU,41,Avery Bradley,?,Kevin Garnett,Paul Pierce,Rajon Rondo,Carlos Delfino,Chandler Parsons,Greg Smith,James Harden,Toney Douglas
2013,DAL,BRK,25,Chris Kaman,Dirk Nowitzki,Jae Crowder,Mike James,?,Brook Lopez,Deron Williams,Gerald Wallace,Joe Johnson,Reggie Evans
2013,MEM,CHA,21,Marc Gasol,Mike Conley,Tayshaun Prince,Tony Allen,?,Bismack Biyombo,Gerald Henderson,Josh McRoberts,Kemba Walker,Michael Kidd-Gilchrist
2013,DEN,OKC,10,Andre Iguodala,Andre Miller,Corey Brewer,JaVale McGee,?,Kevin Martin,Nick Collison,Reggie Jackson,Russell Westbrook,Thabo Sefolosha
2013,DET,ATL,0,Greg Monroe,Jason Maxiell,Jose Calderon,Kyle Singler,?,Al Horford,DeShawn Stevenson,Jeff Teague,Josh Smith,Kyle Korver
2013,MIA,LAC,25,Dwyane Wade,LeBron James,?,Shane Battier,Udonis Haslem,Blake Griffin,Caron Butler,Chauncey Billups,Chris Paul,DeAndre Jordan
2013,ORL,BOS,22,Arron Afflalo,E'Twaun Moore,Glen Davis,?,J.J. Redick,Brandon Bass,Chris Wilcox,Jason Terry,Paul Pierce,Rajon Rondo
2013,SAS,DEN,42,Danny Green,Kawhi Leonard,Tiago Splitter,Tim Duncan,?,Andre Iguodala,Andre Miller,Corey Brewer,JaVale McGee,Kenneth Faried
2013,WAS,ATL,33,Bradley Beal,Emeka Okafor,John Wall,?,Martell Webster,Devin Harris,Ivan Johnson,Josh Smith,Lou Williams,Zaza Pachulia
2013,BOS,PHO,35,Courtney Lee,?,Jason Collins,Jason Terry,Jeff Green,Goran Dragic,Luis Scola,Marcin Gortat,P.J. Tucker,Shannon Brown
2013,ATL,BRK,47,Al Horford,Devin Harris,Jeff Teague,?,Zaza Pachulia,Andray Blatche,Brook Lopez,C.J. Watson,Deron Williams,Joe Johnson
2013,CHI,BRK,45,Carlos Boozer,Joakim Noah,Luol Deng,?,Marquis Teague,Andray Blatche,Deron Williams,Gerald Wallace,Joe Johnson,Reggie Evans
2013,PHI,NOH,25,Evan Turner,Jason Richardson,Jrue Holiday,?,Thaddeus Young,Al-Farouq Aminu,Anthony Davis,Eric Gordon,Roger Mason,Ryan Anderson
2013,DEN,DET,10,Andre Iguodala,Andre Miller,Corey Brewer,Kosta Koufos,?,Brandon Knight,Greg Monroe,Jonas Jerebko,Kyle Singler,Rodney Stuckey
2013,BOS,DAL,0,Brandon Bass,Jason Terry,Kevin Garnett,Paul Pierce,?,Chris Kaman,Dahntay Jones,Derek Fisher,O.J. Mayo,Shawn Marion
2013,POR,LAC,15,LaMarcus Aldridge,Meyers Leonard,Nicolas Batum,Ronnie Price,?,Grant Hill,Jamal Crawford,Lamar Odom,Matt Barnes,Ronny Turiaf
2013,BOS,WAS,19,Avery Bradley,Brandon Bass,Chris Wilcox,?,Paul Pierce,Garrett Temple,John Wall,Kevin Seraphin,Nene Hilario,Trevor Ariza
2013,PHO,DAL,8,Goran Dragic,?,Marcin Gortat,Michael Beasley,P.J. Tucker,Darren Collison,Elton Brand,O.J. Mayo,Shawn Marion,Vince Carter
2013,SAC,MIA,41,?,Isaiah Thomas,James Johnson,Jason Thompson,Tyreke Evans,Joel Anthony,Mike Miller,Norris Cole,Rashard Lewis,Ray Allen
2013,UTA,DEN,10,?,Derrick Favors,Gordon Hayward,Marvin Williams,Mo Williams,Andre Iguodala,Andre Miller,Corey Brewer,Kenneth Faried,Kosta Koufos
2013,POR,LAL,35,Damian Lillard,?,Meyers Leonard,Nicolas Batum,Sasha Pavlovic,Antawn Jamison,Chris Duhon,Dwight Howard,Jodie Meeks,Jordan Hill
2013,MIA,DET,25,Chris Bosh,Dwyane Wade,LeBron James,Mario Chalmers,?,Greg Monroe,Jason Maxiell,Jose Calderon,Kyle Singler,Rodney Stuckey
2013,MIN,POR,42,Alexey Shved,Dante Cunningham,?,Nikola Pekovic,Ricky Rubio,Damian Lillard,J.J. Hickson,Luke Babbitt,Nicolas Batum,Wesley Matthews
2013,SAS,IND,34,DeJuan Blair,Manu Ginobili,Matt Bonner,?,Tony Parker,George Hill,Gerald Green,Ian Mahinmi,Paul George,Tyler Hansbrough
2013,PHI,BRK,33,Damien Wilkins,Evan Turner,Jrue Holiday,Lavoy Allen,?,Brook Lopez,Deron Williams,Gerald Wallace,Keith Bogans,Reggie Evans
2013,TOR,ORL,16,Amir Johnson,DeMar DeRozan,John Lucas III,?,Terrence Ross,Arron Afflalo,J.J. Redick,Jameer Nelson,Josh McRoberts,Nikola Vucevic
